time_stamp,value_real
2016-10-18 00:47:01,47.371134
2016-10-18 00:47:11,3851.512027
2016-10-18 00:47:21,45.670103
2016-10-18 00:47:31,3875.721649
2016-10-18 00:47:41,46.649485
2016-10-18 00:47:51,3897.57732
2016-10-18 00:48:01,49.020619
2016-10-18 00:48:11,3891.683849
2016-10-18 00:48:21,47.010309
2016-10-18 00:48:31,3899.862543
2016-10-18 00:48:41,46.907216
2016-10-18 00:48:51,3894.501718
2016-10-18 00:49:01,47.010309
2016-10-18 00:49:11,3885.309278
2016-10-18 00:49:21,47.611684
2016-10-18 00:49:31,3903.591065
2016-10-18 00:49:41,47.353952
2016-10-18 00:49:51,3902.302405
2016-10-18 00:50:01,47.027491
2016-10-18 00:50:12,3885.584192
2016-10-18 00:50:21,47.955326
2016-10-18 00:50:32,3850.687285
2016-10-18 00:50:41,47.817869
2016-10-18 00:50:52,3920.034364
2016-10-18 00:51:01,46.890034
2016-10-18 00:51:12,3859.621993
2016-10-18 00:51:21,47.010309
2016-10-18 00:51:32,3891.323024
2016-10-18 00:51:41,46.924399
2016-10-18 00:51:52,3891.134021
2016-10-18 00:52:01,47.371134
2016-10-18 00:52:12,3871.185567
2016-10-18 00:52:21,46.924399
2016-10-18 00:52:32,3893.745704
2016-10-18 00:52:41,47.594502
2016-10-18 00:52:52,3914.226804
2016-10-18 00:53:01,47.457045
2016-10-18 00:53:12,3877.010309
2016-10-18 00:53:21,47.57732
2016-10-18 00:53:32,3864.364261
2016-10-18 00:53:42,48.728522
2016-10-18 00:53:52,3871.907216
2016-10-18 00:54:02,47.560137
2016-10-18 00:54:12,3904.19244
2016-10-18 00:54:22,46.924399
2016-10-18 00:54:32,3882.491409
2016-10-18 00:54:42,46.941581
2016-10-18 00:54:52,3888.848797
2016-10-18 00:55:02,49.587629
2016-10-18 00:55:12,3882.302405
2016-10-18 00:55:22,47.508591
2016-10-18 00:55:32,3884.089347
2016-10-18 00:55:42,47.319588
2016-10-18 00:55:52,3883.333333
2016-10-18 00:56:02,47.405498
2016-10-18 00:56:12,3897.835052
2016-10-18 00:56:22,47.542955
2016-10-18 00:56:32,3867.250859
2016-10-18 00:56:42,47.938144
2016-10-18 00:56:52,3875.859107
