time_stamp,value_int
2016-10-18 09:47:45,25
2016-10-18 09:47:55,24
2016-10-18 09:48:05,24
2016-10-18 09:48:15,24
2016-10-18 09:48:25,25
2016-10-18 09:48:35,24
2016-10-18 09:48:45,24
2016-10-18 09:48:55,25
2016-10-18 09:49:05,24
2016-10-18 09:49:15,24
2016-10-18 09:49:25,24
2016-10-18 09:49:35,25
2016-10-18 09:49:45,24
2016-10-18 09:49:55,24
2016-10-18 09:50:05,24
2016-10-18 09:50:15,24
2016-10-18 09:50:25,25
2016-10-18 09:50:35,25
2016-10-18 09:50:45,25
2016-10-18 09:50:55,25
2016-10-18 09:51:05,24
2016-10-18 09:51:15,24
2016-10-18 09:51:25,24
2016-10-18 09:51:35,25
2016-10-18 09:51:45,24
2016-10-18 09:51:55,24
2016-10-18 09:52:05,24
2016-10-18 09:52:15,24
2016-10-18 09:52:25,24
2016-10-18 09:52:35,24
2016-10-18 09:52:45,24
2016-10-18 09:52:55,24
2016-10-18 09:53:05,24
2016-10-18 09:53:15,24
2016-10-18 09:53:25,25
2016-10-18 09:53:35,25
2016-10-18 09:53:45,24
2016-10-18 09:53:55,24
2016-10-18 09:54:05,24
2016-10-18 09:54:15,24
2016-10-18 09:54:25,25
2016-10-18 09:54:35,24
2016-10-18 09:54:45,24
2016-10-18 09:54:55,24
2016-10-18 09:55:05,24
2016-10-18 09:55:15,24
2016-10-18 09:55:25,24
2016-10-18 09:55:35,24
2016-10-18 09:55:45,24
2016-10-18 09:55:55,24
2016-10-18 09:56:05,25
2016-10-18 09:56:15,24
2016-10-18 09:56:25,24
2016-10-18 09:56:35,25
2016-10-18 09:56:45,24
2016-10-18 09:56:56,24
2016-10-18 09:57:05,24
2016-10-18 09:57:15,24
2016-10-18 09:57:25,24
2016-10-18 09:57:35,24
2016-10-18 09:57:46,24
2016-10-18 09:57:55,24
2016-10-18 09:58:05,24
2016-10-18 09:58:15,24
2016-10-18 09:58:26,25
2016-10-18 09:58:35,24
2016-10-18 09:58:45,24
2016-10-18 09:58:55,24
2016-10-18 09:59:05,24
2016-10-18 09:59:15,25
2016-10-18 09:59:25,24
2016-10-18 09:59:35,24
2016-10-18 09:59:45,24
2016-10-18 09:59:55,24
2016-10-18 10:00:06,24
2016-10-18 10:00:16,24
2016-10-18 10:00:26,25
2016-10-18 10:00:36,24
2016-10-18 10:00:46,24
2016-10-18 10:00:56,24
2016-10-18 10:01:06,24
2016-10-18 10:01:16,24
2016-10-18 10:01:26,24
2016-10-18 10:01:36,24
2016-10-18 10:01:46,24
2016-10-18 10:01:56,24
2016-10-18 10:02:06,25
2016-10-18 10:02:16,24
2016-10-18 10:02:26,25
2016-10-18 10:02:36,24
2016-10-18 10:02:46,24
2016-10-18 10:02:56,24
2016-10-18 10:03:06,24
2016-10-18 10:03:16,24
2016-10-18 10:03:26,24
2016-10-18 10:03:36,24
2016-10-18 10:03:46,24
2016-10-18 10:03:56,24
2016-10-18 10:04:06,24
2016-10-18 10:04:16,24
2016-10-18 10:04:26,24
2016-10-18 10:04:36,24
2016-10-18 10:04:46,24
2016-10-18 10:04:56,24
2016-10-18 10:05:06,24
2016-10-18 10:05:16,24
2016-10-18 10:05:26,24
2016-10-18 10:05:36,24
2016-10-18 10:05:46,24
2016-10-18 10:05:56,25
2016-10-18 10:06:06,24
2016-10-18 10:06:16,24
2016-10-18 10:06:26,24
2016-10-18 10:06:36,24
2016-10-18 10:06:46,24
2016-10-18 10:06:56,24
2016-10-18 10:07:06,24
2016-10-18 10:07:16,24
2016-10-18 10:07:26,24
2016-10-18 10:07:36,24
2016-10-18 10:07:46,24
2016-10-18 10:07:56,24
2016-10-18 10:08:06,24
2016-10-18 10:08:16,24
2016-10-18 10:08:26,24
2016-10-18 10:08:36,24
2016-10-18 10:08:46,24
2016-10-18 10:08:56,25
2016-10-18 10:09:06,24
2016-10-18 10:09:16,24
2016-10-18 10:09:26,24
2016-10-18 10:09:36,24
2016-10-18 10:09:46,24
2016-10-18 10:09:56,24
2016-10-18 10:10:06,24
2016-10-18 10:10:16,24
